dataset,target_size,fold,algorithm,repeat,time,oa,aa,k,selected_features
indian_pines,5,0,zhang,0,140.002867,0.6498829039812647,0.6296499098620139,0.5948564482590534,5-7-39-70-74
indian_pines,5,1,zhang,0,143.196407,0.6873536299765808,0.6739559025276672,0.6405644584143838,5-7-46-74-138
indian_pines,5,2,zhang,0,143.425762,0.7029664324746292,0.5913688651294834,0.6562934385940355,5-7-39-138-158
indian_pines,5,3,zhang,0,134.11858,0.6811085089773614,0.6435372295679957,0.6320217064849777,5-7-19-39-67
indian_pines,5,4,zhang,0,115.234905,0.6998438719750195,0.6913178843917438,0.6546967082599776,7-39-70-74-138
indian_pines,5,5,zhang,0,94.371795,0.7123341139734582,0.7111345724355111,0.6682575666135546,5-7-39-67-158
indian_pines,5,6,zhang,0,90.596492,0.6241217798594848,0.6139819911722353,0.5664222701513775,5-7-46-67-74
indian_pines,5,7,zhang,0,90.015717,0.665495706479313,0.5858999573123218,0.6128159532310922,5-7-19-39-70
indian_pines,5,8,zhang,0,90.677259,0.687743950039032,0.6538037488531538,0.6383257531615616,5-7-39-74-131
indian_pines,5,9,zhang,0,90.056569,0.6436377829820453,0.6037321683740361,0.58535201380561,5-7-54-160-174
indian_pines,10,0,zhang,0,140.002867,0.7837626854020296,0.7963719435237993,0.7525788507307594,5-7-39-70-74-131-155-158-162-166
indian_pines,10,1,zhang,0,143.196407,0.5640124902419984,0.45735296893792843,0.5015738696362552,0-5-7-46-74-138-160-166-175-192
indian_pines,10,2,zhang,0,143.425762,0.7646370023419203,0.7455067708906796,0.730668410041841,5-7-39-67-138-139-158-162-176-191
indian_pines,10,3,zhang,0,134.11858,0.8036690085870414,0.8136233287610874,0.7762967448019285,5-7-19-39-67-110-138-139-155-160
indian_pines,10,4,zhang,0,115.234905,0.7763466042154566,0.7692044907038086,0.7444242204249829,7-39-70-74-138-139-155-160-162-172
indian_pines,10,5,zhang,0,94.371795,0.7853239656518345,0.7716212273953229,0.7555023255127971,5-7-39-67-74-131-158-162-174-188
indian_pines,10,6,zhang,0,90.596492,0.7689305230288837,0.7767249579793452,0.736451493006087,5-7-46-67-74-139-160-168-174-175
indian_pines,10,7,zhang,0,90.015717,0.7872755659640905,0.7378076242343372,0.7569400018904608,5-7-19-39-70-74-139-160-168-174
indian_pines,10,8,zhang,0,90.677259,0.7638563622170179,0.7694135618487234,0.7288339181444102,5-7-39-74-131-150-160-168-174-175
indian_pines,10,9,zhang,0,90.056569,0.7115534738485558,0.7106936344627783,0.6689512132132898,5-7-39-54-60-74-158-160-166-174
indian_pines,15,0,zhang,0,140.002867,0.7786885245901639,0.7993946408054067,0.7473885967041749,5-7-39-67-70-74-131-155-158-162-166-172-174-175-188
indian_pines,15,1,zhang,0,143.196407,0.5608899297423887,0.44257278241783715,0.4977861468954393,0-1-2-3-4-5-6-7-46-74-138-160-166-175-192
indian_pines,15,2,zhang,0,143.425762,0.7615144418423107,0.7459306141092559,0.7280994569221839,5-7-39-57-67-138-139-155-158-162-166-172-176-191-192
indian_pines,15,3,zhang,0,134.11858,0.8110850897736144,0.8304377192590724,0.7850303373979095,5-7-19-39-46-67-110-138-139-155-160-166-172-176-191
indian_pines,15,4,zhang,0,115.234905,0.7837626854020296,0.7647692891371008,0.7531062026641989,7-39-70-74-97-99-138-139-155-158-160-162-166-172-176
indian_pines,15,5,zhang,0,94.371795,0.7533177205308352,0.7656586810864,0.7193202879769021,5-7-39-67-70-74-104-131-155-158-162-166-174-175-188
indian_pines,15,6,zhang,0,90.596492,0.7513661202185792,0.779589862624928,0.717058325034605,5-7-46-67-74-104-129-139-158-160-162-166-168-174-175
indian_pines,15,7,zhang,0,90.015717,0.5815768930523029,0.4611904869659763,0.5194680538734724,0-5-7-19-39-57-70-74-104-139-160-168-174-175-192
indian_pines,15,8,zhang,0,90.677259,0.7548790007806401,0.7800928691065763,0.7192926871353298,5-7-39-57-74-76-131-150-160-162-166-168-174-175-188
indian_pines,15,9,zhang,0,90.056569,0.6955503512880562,0.698123947007533,0.651941400835016,5-7-39-54-60-70-74-104-150-155-158-160-166-174-192
indian_pines,20,0,zhang,0,140.002867,0.7759562841530054,0.8115892053926332,0.7450250789802793,5-7-39-46-67-70-74-129-131-138-150-155-158-160-162-166-172-174-175-188
indian_pines,20,1,zhang,0,143.196407,0.563231850117096,0.45907629379486736,0.5005586072465811,0-1-2-3-4-5-6-7-8-9-10-11-12-46-74-138-160-166-175-192
indian_pines,20,2,zhang,0,143.425762,0.7728337236533958,0.7675394830152964,0.7409832147122974,5-7-39-46-57-67-129-138-139-150-155-158-162-165-166-168-172-176-191-192
indian_pines,20,3,zhang,0,134.11858,0.8060109289617486,0.8201517661802666,0.7796083638857321,5-7-19-39-46-67-70-110-129-138-139-150-155-160-162-166-172-176-188-191
indian_pines,20,4,zhang,0,115.234905,0.78064012490242,0.7728108537942324,0.7499749079582232,7-39-57-70-74-76-91-97-99-138-139-155-158-160-162-165-166-172-176-188
indian_pines,20,5,zhang,0,94.371795,0.7685402029664324,0.794615097755087,0.7370700121058147,5-7-39-46-57-67-70-74-104-131-150-155-158-160-162-166-172-174-175-188
indian_pines,20,6,zhang,0,90.596492,0.7665886026541764,0.7846681475768169,0.7349871712131468,5-7-46-57-67-74-104-129-138-139-150-155-158-160-162-166-168-174-175-176
indian_pines,20,7,zhang,0,90.015717,0.5683060109289617,0.45026298764776573,0.5039788341671914,0-1-2-3-4-5-6-7-19-39-57-70-74-104-139-160-168-174-175-192
indian_pines,20,8,zhang,0,90.677259,0.7786885245901639,0.8049934909088261,0.7473732648209219,5-7-39-46-57-70-74-76-131-139-150-155-158-160-162-166-168-174-175-188
indian_pines,20,9,zhang,0,90.056569,0.7697111631537861,0.7976895835468156,0.7371577993925476,5-7-39-54-57-60-70-74-104-129-131-150-155-158-160-166-168-174-175-192
indian_pines,25,0,zhang,0,140.002867,0.7790788446526151,0.8108829394626506,0.7487456271517705,5-7-39-45-46-67-70-74-76-104-129-131-138-139-150-155-158-160-162-166-168-172-174-175-188
indian_pines,25,1,zhang,0,143.196407,0.5647931303669008,0.45857883896308294,0.5021263023601956,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-46-74-138-160-166-175-192
indian_pines,25,2,zhang,0,143.425762,0.7790788446526151,0.8029344111335114,0.7483960397620082,5-7-39-45-46-57-67-74-76-99-129-138-139-150-155-158-160-162-165-166-168-172-176-191-192
indian_pines,25,3,zhang,0,134.11858,0.8114754098360656,0.8521704441993538,0.7859642459074578,5-7-19-39-46-57-67-70-76-99-110-129-138-139-150-155-160-162-165-166-168-172-176-188-191
indian_pines,25,4,zhang,0,115.234905,0.5737704918032787,0.4446747387889941,0.5091336590798915,0-1-2-7-39-46-57-70-74-76-91-97-99-138-139-150-155-158-160-162-165-166-172-176-188
indian_pines,25,5,zhang,0,94.371795,0.7716627634660421,0.7980530148168411,0.740927259741005,5-7-39-46-50-54-57-67-70-74-104-129-131-138-150-155-158-160-162-164-166-172-174-175-188
indian_pines,25,6,zhang,0,90.596492,0.7728337236533958,0.8041390434641146,0.7422793151134555,5-7-39-45-46-57-67-74-76-104-129-131-138-139-150-155-158-160-162-166-168-174-175-176-188
indian_pines,25,7,zhang,0,90.015717,0.5733801717408274,0.45160731282908073,0.5095316103998146,0-1-2-3-4-5-6-7-8-9-10-11-12-19-39-57-70-74-104-139-160-168-174-175-192
indian_pines,25,8,zhang,0,90.677259,0.7736143637782982,0.8341562852478523,0.7416940943005337,5-7-39-45-46-57-67-70-74-76-97-104-131-138-139-150-155-158-160-162-166-168-174-175-188
indian_pines,25,9,zhang,0,90.056569,0.8110850897736144,0.8098361006930802,0.7841239510493772,5-7-13-28-39-46-54-57-60-70-74-76-104-129-131-150-155-158-160-162-166-168-174-175-192
indian_pines,30,0,zhang,0,140.002867,0.8243559718969555,0.8298511563743833,0.7999909094662643,5-7-27-39-45-46-57-67-70-74-76-77-94-104-129-131-138-139-150-155-158-160-162-165-166-168-172-174-175-188
indian_pines,30,1,zhang,0,143.196407,0.5659640905542545,0.449787601187634,0.5026548870311351,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-46-74-138-160-166-175-192
indian_pines,30,2,zhang,0,143.425762,0.8005464480874317,0.7957120855125914,0.7730590404765478,5-7-19-39-45-46-57-67-68-74-76-95-99-104-129-138-139-150-155-158-160-162-165-166-168-172-176-185-191-192
indian_pines,30,3,zhang,0,134.11858,0.8064012490241999,0.8211695420703895,0.7799507623830425,5-7-19-39-46-57-67-70-74-76-77-91-99-104-110-129-138-139-150-155-158-160-162-165-166-168-172-176-188-191
indian_pines,30,4,zhang,0,115.234905,0.5819672131147541,0.4506710367487689,0.5181031271552439,0-1-2-3-4-5-6-7-8-39-46-57-70-74-76-91-97-99-138-139-150-155-158-160-162-165-166-172-176-188
indian_pines,30,5,zhang,0,94.371795,0.7927400468384075,0.8312358428967036,0.7645467971249698,5-7-16-39-46-50-52-54-57-67-70-74-104-129-131-138-150-155-158-159-160-162-164-166-172-174-175-183-187-188
indian_pines,30,6,zhang,0,90.596492,0.7833723653395784,0.81805130422684,0.7543805766652306,5-7-39-45-46-57-67-74-76-95-97-104-129-131-138-139-150-155-158-159-160-162-166-168-174-175-176-183-188-192
indian_pines,30,7,zhang,0,90.015717,0.5757220921155347,0.45170415360505795,0.5115239996428815,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-39-57-70-74-104-139-160-168-174-175-192
indian_pines,30,8,zhang,0,90.677259,0.8064012490241999,0.8407528187959491,0.7790326627726397,5-7-21-39-45-46-57-67-70-74-76-97-104-129-131-138-139-150-155-158-159-160-162-166-168-174-175-176-188-192
indian_pines,30,9,zhang,0,90.056569,0.8142076502732241,0.8268462204000939,0.7879849221297752,5-7-13-25-28-36-39-46-54-57-60-61-70-74-76-104-129-131-150-155-157-158-160-162-166-168-174-175-190-192
