dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,25,zhang,91.24,0.7943013270882123,0.7956251969244119,0.7659001295438614,5-7-39-46-52-57-60-67-70-76-91-107-125-131-139-148-155-158-160-165-166-168-172-176-198||14-44-46-57-60-67-68-74-76-104-107-110-124-129-131-138-148-155-160-162-164-165-171-172-175||7-13-44-45-54-60-67-70-74-75-76-107-110-132-138-139-160-162-166-169-171-175-176-187-191||5-7-13-44-57-60-67-74-76-107-110-124-131-139-148-155-158-160-164-168-172-174-176-192-198||5-7-13-14-46-67-74-76-107-110-139-148-158-160-162-164-166-169-171-172-175-176-188-192-198||5-7-13-39-44-57-67-68-70-76-107-131-139-148-155-160-162-165-166-172-175-187-188-192-198||5-7-13-19-52-60-67-74-75-76-77-91-107-129-135-139-148-155-160-162-166-168-172-176-198||5-7-19-39-44-60-70-74-75-76-107-124-148-158-160-162-164-166-172-175-176-188-191-192-198||7-13-44-54-60-67-76-91-107-110-131-139-148-155-160-162-165-166-168-171-172-175-176-188-198||5-7-13-46-52-57-60-67-75-76-107-110-131-139-148-160-162-164-166-172-175-176-188-192-198
indian_pines,30,zhang,91.24,0.8016783762685401,0.8062180962261065,0.7743199459752408,5-7-39-44-45-46-52-57-60-67-70-76-91-104-107-122-124-125-131-139-148-155-158-160-165-166-168-172-176-198||7-14-44-46-57-60-67-68-74-76-104-107-110-124-129-131-138-148-155-160-162-164-165-171-172-175-176-188-191-198||7-13-44-45-54-57-60-67-70-74-75-76-77-107-110-132-138-139-160-162-164-166-169-171-175-176-187-188-191-192||5-7-13-44-50-57-60-67-74-76-107-110-124-131-139-148-155-158-160-162-164-165-168-172-174-175-176-188-192-198||5-7-13-14-39-46-57-67-70-74-76-107-110-122-131-139-148-158-160-162-164-166-169-171-172-175-176-188-192-198||5-7-13-39-40-44-46-57-67-68-70-74-76-104-107-131-139-148-155-160-162-165-166-172-175-176-187-188-192-198||5-7-13-19-27-45-52-57-60-67-74-75-76-77-91-101-104-107-129-135-139-148-155-160-162-166-168-172-176-198||5-7-19-39-44-46-57-60-70-74-75-76-104-107-124-129-135-148-158-160-162-164-166-172-175-176-188-191-192-198||5-7-13-44-45-54-57-60-67-74-76-91-107-110-122-131-139-148-155-160-162-165-166-168-171-172-175-176-188-198||5-7-13-14-46-52-57-60-67-70-75-76-107-110-131-139-148-160-162-164-165-166-168-172-175-176-188-191-192-198
indian_pines,5,zhang,91.24,0.6435206869633099,0.5729260126817056,0.5859233296744376,67-76-125-131-139||14-44-46-57-60||7-13-44-45-54||7-13-44-60-74||5-7-13-14-46||131-148-162-166-198||60-139-148-162-166||5-7-19-39-44||13-54-110-166-168||52-60-67-160-164
indian_pines,10,zhang,91.24,0.7418423106947698,0.7296829730838759,0.7044893598984656,60-67-70-76-125-131-139-148-155-158||14-44-46-57-60-67-68-74-76-104||7-13-44-45-54-60-70-75-76-107||7-13-44-60-74-76-110-131-139-160||5-7-13-14-46-67-74-107-110-139||39-68-131-148-155-160-162-166-175-198||19-60-67-135-139-148-155-162-166-198||5-7-19-39-44-60-70-74-107-124||13-54-110-139-155-166-168-171-175-198||52-60-67-75-76-131-160-164-176-192
indian_pines,15,zhang,91.24,0.7794301327088212,0.7752887523604839,0.7485127292649383,7-39-57-60-67-70-76-125-131-139-148-155-158-166-172||14-44-46-57-60-67-68-74-76-104-107-110-124-129-131||7-13-44-45-54-60-70-75-76-107-110-132-138-139-160||7-13-44-60-74-76-107-110-131-139-160-168-172-174-176||5-7-13-14-46-67-74-107-110-139-158-160-162-164-166||7-39-68-76-131-139-148-155-160-162-166-175-187-192-198||19-60-67-74-76-91-107-135-139-148-155-160-162-166-198||5-7-19-39-44-60-70-74-107-124-148-158-160-162-164||13-54-60-67-110-131-139-155-166-168-171-172-175-188-198||7-46-52-60-67-75-76-107-131-148-160-164-176-188-192
indian_pines,20,zhang,91.24,0.790671350507416,0.7920960082115664,0.7616537830871444,7-39-57-60-67-70-76-107-125-131-139-148-155-158-160-166-168-172-176-198||14-44-46-57-60-67-68-74-76-104-107-110-124-129-131-138-148-155-160-162||7-13-44-45-54-60-70-75-76-107-110-132-138-139-160-162-169-171-175-176||7-13-44-60-67-74-76-107-110-131-139-148-155-160-164-168-172-174-176-192||5-7-13-14-46-67-74-107-110-139-158-160-162-164-166-172-175-176-188-192||5-7-39-44-57-68-76-107-131-139-148-155-160-162-166-172-175-187-192-198||7-19-60-67-74-76-77-91-107-135-139-148-155-160-162-166-168-172-176-198||5-7-19-39-44-60-70-74-107-124-148-158-160-162-164-166-172-175-176-192||13-44-54-60-67-76-107-110-131-139-148-155-160-166-168-171-172-175-188-198||7-46-52-60-67-75-76-107-110-131-139-148-160-162-164-172-175-176-188-192
