band1,band2,score
1,1,0.33899075005717727
1,2,0.48948928991339935
1,3,0.5061945758613157
1,4,0.527781772875245
1,5,0.5379261633427399
1,6,0.5323314944624868
1,7,0.48331240767685957
1,8,0.4017569783433764
1,9,0.3371913038311509
1,10,0.3283076696253988
1,11,0.3635537915019873
1,12,0.3858375144402245
1,13,0.4011873854053307
1,14,0.44194206213672294
1,15,0.48136074823757
1,16,0.5092202829047994
1,17,0.5290660525965513
1,18,0.532030502832313
1,19,0.5232341146202548
1,20,0.515216116066289
1,21,0.5085379105337388
1,22,0.4981112728082858
1,23,0.4825056964458292
1,24,0.47202252105862263
1,25,0.46199852955725207
1,26,0.4493770937256166
1,27,0.4436403700283985
1,28,0.44031862002317135
1,29,0.4371884960657001
1,30,0.4322516347331312
1,31,0.4328859936384687
1,32,0.42841463680346725
1,33,0.3664647613933243
1,34,0.3544391247181917
1,35,0.35499437227842956
1,36,0.3568194041948277
1,37,0.3600340555127679
1,38,0.36218577337547764
1,39,0.36399576511228804
1,40,0.3562167443562798
1,41,0.34736365310139605
1,42,0.34324191804461834
1,43,0.34312380740135406
1,44,0.34354355510515333
1,45,0.34787763861396137
1,46,0.34623906103289825
1,47,0.3448899224156782
1,48,0.3321288796563173
1,49,0.3295310159355155
1,50,0.32676179418031304
1,51,0.32966457349337497
1,52,0.33101568406971515
1,53,0.3361789315065489
1,54,0.3357553274831656
1,55,0.33307804596058943
1,56,0.3278568539965818
1,57,0.3335340562851845
1,58,0.32181241093922575
1,59,0.3299266178231869
1,60,0.33313626927951345
1,61,0.33206256263779876
1,62,0.3294036338454962
1,63,0.3325652282719642
1,64,0.3372774522819373
1,65,0.3426392989437229
1,66,0.343238778628576
2,2,0.4481520960335662
2,3,0.528391648243301
2,4,0.5334434065467878
2,5,0.5260652676571271
2,6,0.5141684674886968
2,7,0.47654053137510255
2,8,0.46216453208806796
2,9,0.47918501048281126
2,10,0.4814243297382026
2,11,0.4893311623240547
2,12,0.4851786552990862
2,13,0.4914383741124826
2,14,0.5076979500744061
2,15,0.5268941576701421
2,16,0.545278970805249
2,17,0.5521647875303962
2,18,0.5498361580245161
2,19,0.5450074781857797
2,20,0.5401020388739999
2,21,0.5344061463197323
2,22,0.5303014272044235
2,23,0.525378372931774
2,24,0.5194386839492826
2,25,0.5119909158280403
2,26,0.507711696615817
2,27,0.5051283023488822
2,28,0.5029974581444983
2,29,0.50313162240209
2,30,0.5008947071489256
2,31,0.5007307117028755
2,32,0.5010782386759391
2,33,0.46331796711690876
2,34,0.45526155744027397
2,35,0.4557379998632246
2,36,0.4576320668365834
2,37,0.46041732274589164
2,38,0.4639494803891985
2,39,0.4655680433376299
2,40,0.4607632266272005
2,41,0.45671611673602464
2,42,0.44193390505724817
2,43,0.442085613327143
2,44,0.4479782581925216
2,45,0.4538920876620701
2,46,0.4531206022050802
2,47,0.43808133281698924
2,48,0.4193527153102672
2,49,0.41749606312621046
2,50,0.4185125924824772
2,51,0.42278627139504854
2,52,0.42679578793343675
2,53,0.4384841298983718
2,54,0.4412838859896929
2,55,0.4354274832867141
2,56,0.4237040875158281
2,57,0.42449022771744105
2,58,0.42197216766237455
2,59,0.435855864569741
2,60,0.437951345194437
2,61,0.434124165781113
2,62,0.4302245958460218
2,63,0.4308990077837257
2,64,0.4334253523787206
2,65,0.4417298973892907
2,66,0.43879183652229337
3,3,0.47137566115964036
3,4,0.5340861947148712
3,5,0.5240738915901771
3,6,0.5106775251395927
3,7,0.4940642133978512
3,8,0.5087200299259704
3,9,0.503072623251754
3,10,0.5019265938891901
3,11,0.503442298194432
3,12,0.5020283253558582
3,13,0.5081447620555062
3,14,0.5201596397002652
3,15,0.5374485032372556
3,16,0.5497268575652814
3,17,0.5566220791625314
3,18,0.5543583644402392
3,19,0.5488529230773366
3,20,0.5420862705897409
3,21,0.5390172045033483
3,22,0.535860684617655
3,23,0.5299239283743422
3,24,0.5261712163947827
3,25,0.5209044965069598
3,26,0.5179572618761918
3,27,0.5162730478263584
3,28,0.5155692024275524
3,29,0.5151489245547605
3,30,0.5133396483014301
3,31,0.5132801847136665
3,32,0.5126138102555744
3,33,0.47815273458055707
3,34,0.47132666524979716
3,35,0.4727559286345189
3,36,0.47631555369482803
3,37,0.47799725683042027
3,38,0.4798764405151491
3,39,0.4819477633985251
3,40,0.47845943844538963
3,41,0.4747586550414099
3,42,0.4640021741765501
3,43,0.46249755043643526
3,44,0.4640141535713834
3,45,0.47003409290512854
3,46,0.46877668241759063
3,47,0.4591633450306164
3,48,0.4472149563533354
3,49,0.4412025136654629
3,50,0.44142521815649793
3,51,0.44460234098712836
3,52,0.4516018040828558
3,53,0.45661997434637747
3,54,0.4615974416997767
3,55,0.45849039270908654
3,56,0.44710089279849086
3,57,0.44533999590746787
3,58,0.44302861013172246
3,59,0.4576153731265016
3,60,0.45664432347390405
3,61,0.45144152510096314
3,62,0.44404521631176364
3,63,0.4498298961092063
3,64,0.4516815959488111
3,65,0.4570481581130037
3,66,0.453060608209111
4,4,0.4699760343466849
4,5,0.5244747774729168
4,6,0.50291727595173
4,7,0.5032946384326895
4,8,0.5009482163639164
4,9,0.5005597417696879
4,10,0.50540880006563
4,11,0.5138443385204543
4,12,0.5208405429581598
4,13,0.5299502441387403
4,14,0.5449011394613754
4,15,0.5638774004460247
4,16,0.57458884128598
4,17,0.5727835555009246
4,18,0.5695732342949149
4,19,0.5612264579830187
4,20,0.5562155171496219
4,21,0.5507244277723209
4,22,0.5461839209221928
4,23,0.540883694895163
4,24,0.535620924913861
4,25,0.5294599634355158
4,26,0.5271580286699296
4,27,0.5261063665585388
4,28,0.5238766781937254
4,29,0.5227972707849882
4,30,0.5225014296734156
4,31,0.5240318213121306
4,32,0.5234628820734983
4,33,0.4899716444966653
4,34,0.4808187050913558
4,35,0.4818840229827668
4,36,0.48485546252733247
4,37,0.48456510372431016
4,38,0.4856737756588968
4,39,0.48730239830990996
4,40,0.48324367353775677
4,41,0.4816677894073561
4,42,0.47369735679238223
4,43,0.47218971282638766
4,44,0.4765147478068863
4,45,0.4800275642778302
4,46,0.47808603649569326
4,47,0.46976806017955486
4,48,0.4546890533965462
4,49,0.4523431062701079
4,50,0.4532709062234822
4,51,0.4547650178729822
4,52,0.45566855562817776
